title,company,location,job_url
Customer Financing and Recovery Officer,VG Motors,Kathmandu,https://merojob.com/customer-financing-recovery-officer
Head of Finance and Operations,Alpha Plus Ventures Limited,Kathmandu,https://merojob.com/head-of-finance-and-operations-2
Store Assistant,Fire And Ice Pizzeria,Kathmandu,https://merojob.com/store-assistant-47
Admin Assistant,Fire And Ice Pizzeria,Kathmandu,https://merojob.com/admin-assistant-184
Logistics Officer,B.S.R. Biotech,Kathmandu,https://merojob.com/logistics-officer-31
Account Officer,Cosmic Electrical Limited,Kathmandu,https://merojob.com/account-officer-782
Sales Officer,Himal Tea Industries - Rakura Group,Kathmandu,https://merojob.com/assistant-relationship-officer-14
Marketing / Content Creation,House of NEBA,Kathmandu,https://merojob.com/content-creator-214
Middle School Math Teacher,Rosebud School,Kathmandu,https://merojob.com/middle-school-math-teacher-grade-6-7-8
Primary School Science Teacher,Rosebud School,Kathmandu,https://merojob.com/primary-school-science-teacher-2
Support Manager,Jiwan Tech,Nepal,https://merojob.com/support-manager-3
Digital Marketing Manager,Jiwan Tech,Nepal,https://merojob.com/digital-marketing-manager-198
Sales Executive,Sabre Travel Network Nepal,Nepal,https://merojob.com/sales-executive-1310
Intern,E-Spot Nepal,Nepal,https://merojob.com/intern-148
Sales and Marketing Executive,Orange,Nepal,https://merojob.com/sales-and-marketing-executive-234
Production Assistant,Safa Tarkari,Nepal,https://merojob.com/production-assistant-13
Business Growth Associate,WorldLink Communications,Nepal,https://merojob.com/business-growth-associate-12
Corporate Legal Officer,Professional Holdings Limited (PHL),Nepal,https://merojob.com/corporate-legal-officer-2
Junior Accountant,Sonam Gears,Nepal,https://merojob.com/junior-accountant-202
प्रिन्सिपल (पूर्णकालीन),"Sainik Awasiya Mahavidyalaya, Bardibas",Nepal,https://merojob.com/-5281
Sound Engineer,Story Company,Nepal,https://merojob.com/sound-engineer
Voice Over Actors,Story Company,Nepal,https://merojob.com/voice-over-actors-bantawa-rai-eastern-tamang-western-tamang
Planning Engineer,Sinohydro Corporation Limited,Nepal,https://merojob.com/planning-engineer-6
Sales and Marketing Executive,HMC Nepal,Nepal,https://merojob.com/sales-and-marketing-executive-233
Senior Counselor – Australia,Value Education and Visa Services,Nepal,https://merojob.com/senior-counselor-australia-6
Technical Assistant / Full Stack Developer (Assistant),Nobu Studio,Nepal,https://merojob.com/technical-assistant-full-stack-developer-assistant
SEO Intern,Arete Viva SEO,Nepal,https://merojob.com/seo-intern-32
HR Assistant Manager,Executive Search- Merojob,Nepal,https://merojob.com/hr-asst-manager
Business Development Officer,Mega Home Solutions,Nepal,https://merojob.com/business-development-officer-828
Digital Marketing and Branding Coordinator,Apala Jewels,Nepal,https://merojob.com/digital-marketing-and-branding-coordinator
